52.80,1,[a0]
49.06,2,[a0 a4]
37.85,3,[a0 a4 a1]
23.36,4,[a0 a4 a1 a6]
25.23,5,[a0 a4 a1 a6 a3]
23.36,6,[a0 a4 a1 a6 a3 a2]
22.90,7,[a0 a4 a1 a6 a3 a2 a5]
29.44,8,[a0 a4 a1 a6 a3 a2 a5 a8]
29.44,9,[a0 a4 a1 a6 a3 a2 a5 a8 a7]
